Reading Number,Minimum Distance,Time Stamp
0,5.0,2018-08-21 22:10:26
1,2.9478259086608887,2018-08-21 22:11:10
2,0.7751928567886353,2018-08-21 22:11:51
3,4.683563232421875,2018-08-21 22:12:25
4,5.0,2018-08-21 22:12:48
5,5.0,2018-08-21 22:13:20
6,4.1669721603393555,2018-08-21 22:13:48
7,2.371140956878662,2018-08-21 22:14:30
8,1.285884141921997,2018-08-21 22:15:09
9,3.579418182373047,2018-08-21 22:15:46
10,1.519892692565918,2018-08-21 22:16:19
11,1.1205559968948364,2018-08-21 22:17:00
12,1.082463026046753,2018-08-21 22:17:05
13,4.487908840179443,2018-08-21 22:17:15
14,5.0,2018-08-21 22:17:23
15,0.648162841796875,2018-08-21 22:18:02
16,1.0072009563446045,2018-08-21 22:18:37
17,4.189454555511475,2018-08-21 22:19:01
18,2.811297655105591,2018-08-21 22:19:30
19,1.0682072639465332,2018-08-21 22:20:11
20,3.3621280193328857,2018-08-21 22:20:50
21,3.100470781326294,2018-08-21 22:21:17
22,5.0,2018-08-21 22:21:55
23,4.116730690002441,2018-08-21 22:22:15
24,3.167240858078003,2018-08-21 22:22:32
25,4.244217395782471,2018-08-21 22:22:50
26,4.345062255859375,2018-08-21 22:23:32
27,5.0,2018-08-21 22:23:43
28,5.0,2018-08-21 22:24:25
29,5.0,2018-08-21 22:24:41
30,1.9254666566848755,2018-08-21 22:25:12
31,1.4862323999404907,2018-08-21 22:25:52
32,1.630881428718567,2018-08-21 22:26:34
33,1.6748815774917603,2018-08-21 22:27:26
34,0.4652039408683777,2018-08-21 22:27:42
35,1.7440563440322876,2018-08-21 22:27:58
36,5.0,2018-08-21 22:28:27
37,0.5897756814956665,2018-08-21 22:29:01
38,2.93328595161438,2018-08-21 22:29:09
39,4.821986675262451,2018-08-21 22:29:55
40,5.0,2018-08-21 22:30:12
41,3.3756418228149414,2018-08-21 22:30:58
42,0.9389657974243164,2018-08-21 22:31:40
43,4.640949726104736,2018-08-21 22:32:13
44,4.305420398712158,2018-08-21 22:32:39
45,5.0,2018-08-21 22:33:13
46,4.286483287811279,2018-08-21 22:33:36
47,2.315242290496826,2018-08-21 22:34:17
48,1.2408032417297363,2018-08-21 22:34:57
49,1.7192003726959229,2018-08-21 22:35:29
50,1.4536798000335693,2018-08-21 22:36:05
51,1.0892409086227417,2018-08-21 22:36:52
52,0.9915556907653809,2018-08-21 22:36:56
53,4.428518772125244,2018-08-21 22:37:06
54,5.0,2018-08-21 22:37:15
55,0.7214289903640747,2018-08-21 22:37:53
56,0.9764775037765503,2018-08-21 22:38:29
57,4.168653964996338,2018-08-21 22:38:51
58,3.0782625675201416,2018-08-21 22:39:16
59,1.662099838256836,2018-08-21 22:39:58
60,3.4801058769226074,2018-08-21 22:40:32
61,3.0993356704711914,2018-08-21 22:40:59
62,5.0,2018-08-21 22:41:37
63,2.6480870246887207,2018-08-21 22:41:58
64,3.081394672393799,2018-08-21 22:42:20
65,4.209519863128662,2018-08-21 22:42:30
66,3.8615612983703613,2018-08-21 22:43:11
67,5.0,2018-08-21 22:43:24
68,5.0,2018-08-21 22:44:05
69,5.0,2018-08-21 22:44:20
70,1.6375921964645386,2018-08-21 22:44:51
71,1.4973806142807007,2018-08-21 22:45:32
72,1.6022342443466187,2018-08-21 22:46:13
73,1.6304759979248047,2018-08-21 22:47:01
74,0.4884054362773895,2018-08-21 22:47:20
75,1.7666593790054321,2018-08-21 22:47:35
76,5.0,2018-08-21 22:48:05
77,0.5883407592773438,2018-08-21 22:48:39
78,3.2135818004608154,2018-08-21 22:48:46
79,4.768870830535889,2018-08-21 22:49:32
80,5.0,2018-08-21 22:49:49
81,2.6810245513916016,2018-08-21 22:50:33
82,0.8586767911911011,2018-08-21 22:51:15
83,4.6612043380737305,2018-08-21 22:51:48
84,4.886654853820801,2018-08-21 22:52:13
85,5.0,2018-08-21 22:52:45
86,4.3831610679626465,2018-08-21 22:53:09
87,2.4851536750793457,2018-08-21 22:53:50
88,1.2723937034606934,2018-08-21 22:54:29
89,1.8918647766113281,2018-08-21 22:55:06
90,4.419878959655762,2018-08-21 22:55:42
91,1.1191617250442505,2018-08-21 22:56:23
92,1.118184208869934,2018-08-21 22:56:34
93,4.39587926864624,2018-08-21 22:56:43
94,5.0,2018-08-21 22:56:51
95,0.7006444334983826,2018-08-21 22:57:29
96,0.960240364074707,2018-08-21 22:58:05
97,4.167750835418701,2018-08-21 22:58:29
98,2.616487503051758,2018-08-21 22:58:57
99,2.889664888381958,2018-08-21 22:59:38
100,1.022412896156311,2018-08-21 22:59:46
101,3.061553478240967,2018-08-21 23:00:15
102,5.0,2018-0
